date time;attacker id;att name;att power;att team;defender id;def name;def power;team;attacker patronage;defender patronage;
28/12/24;4208957;patlacoche;1186100;Axe Mar Seb Kai K'A Krv;4684732;Team Diabolic;1116630;Ara Dan Mor Seb The Axe;Axe(11064) Alb(11064) Bis(11064) Mar(11064) Oli(11064);Mar(11064) Cai(11064) Oli(11064) Alb(8126) Axe(11064);
28/12/24;4868542;stratis;1131663;Axe Hel Dor Ori Neb Aur;4171300;Kislo;1122562;Cle Ami Neb Seb Pol Axe;Kho(11064) Axe(11064) Mer(11064)  ###  Cai(11064);Bis(11064) Oli(9734) Cai(11064) Alb(11064) Mar(9020);
28/12/24;4425955;Tobi;1125168;Axe Mar Hei Neb Jhu Ast;4828168;Team 4828168;1062921;Dan Neb Seb Hei Dor Alb;Axe(11064) Alb(11064) Cai(10154) Vex(7580) Oli(11064);Cai(11064)  ###  Oli(11064) Alb(11064) Mer(7804);
28/12/24;4668830;TrumpReturns;1119988;Axe Fac Jor Kai K'A Aur;4252976;rmh;1086096;Krv Dan Mor Seb Iri Axe;Mar(8108) Axe(11064) Bis(10336) Vex(10154) Cai(11064);Bis(11064) Cai(11064) Axe(11064) Fen(11064) Alb(11064);
28/12/24;23402789;Ragto;1102714;Alb Dor Aug Ori Neb Dan;4362648;Oberon;1064983;Krv K'A Seb Aid Iri Axe;Mer(10252) Axe(11064) Bis(10364)  ###  Cai(9018);Bis(11064) Mar(11064) Alb(11064) Kho(6440) Oli(11064);
28/12/24;4868542;stratis;1131663;Kho Hel Dor Ori Neb Aur;20923589;Dropped;1108259;Krv Kay Dan Seb Aid Axe;Kho(11064) Axe(11064) Mer(11064)  ###  Cai(11064);Bis(9428) Alb(11064) Cai(11064) Fen(9428) Mer(9428);
28/12/24;23402789;Ragto;1128390;Alb Dor Iri Hei Mor Krv;20923407;Shiri;1120995;Ruf Dan Seb Iri Mar Axe;Mer(10252) Bis(10364) Axe(11064) Oli(11064) Alb(11064);Oli(11064) Cai(11064) Alb(11064) Bis(11064) Axe(11064);
27/12/24;23402789;Ragto;1102082;Axe Dor Aug Ori Neb Dan;4704912;Linni;1071478;Ish Jhu Seb LaC Aid Axe;Axe(11064) Bis(10364) Mar(10168)  ###  Cai(9018);Oli(11064) Vex(10154) Alb(11064) Mar(9020) Mer(6826);
27/12/24;4868542;stratis;959474;Kho Pol Aug Ori Mor Aur;6750016;REX;934295;Ruf Ami Neb Hei Pol Kho;Kho(11064) Alb(9428) Mer(11064) Axe(11064) Cai(11064);Oli(9428) Axe(11064) Cai(9292) Alb(11064) Bis(9652);
27/12/24;4868542;stratis;959474;Kho Pol Aug Ori Mor Aur;20924199;Mm33;1114478;Ruf Ami Neb Hei Pol Kho;Kho(11064) Alb(9428) Mer(11064) Axe(11064) Cai(11064);Oli(11064) Axe(11064) Cai(11064) Alb(11064) Mar(11064);
27/12/24;4411565;СКАРАБЕЙ;1142942;Axe Mar Seb Yas K'A Ast;4567329;cs33;1034467;Ruf Ara Neb Hei Mar Kho;Axe(11064) Alb(11064) Cai(11064) Fen(11064) Oli(9428);Oli(11064) Mar(6866) Cai(11064) Alb(11064) Axe(11064);
27/12/24;4668830;TrumpReturns;1128128;Axe Fac Jor Seb K'A Aur;6750877;J.F;1071490;Ruf Ish Dan Seb Faf Axe;Bis(10238) Axe(11064) Alb(11064) Vex(10154) Cai(11064);Bis(11064) Fen(11064) Cai(11064) Alb(11064) Oli(11064);
27/12/24;4668830;TrumpReturns;1119544;Axe Fac Jor Kai K'A Aur;20924403;liudashan;1066766;Ruf Neb Hei Iri Dor Kho;Mar(8108) Axe(11064) Bis(10238) Vex(10154) Cai(11064);Bis(10672) Cai(11064) Axe(11064) Oli(11064) Mer(7394);
27/12/24;23402789;Ragto;1128186;Alb Dor Iri Hei Mor Krv;4603724;Mole;900243;Ruf Neb Hei Iri Dor Kho;Mer(10252) Oli(11064) Bis(10364) Axe(11064) Alb(11064);Bis(9018) Cai(11064) Alb(11064) Oli(11064) Axe(11064);
26/12/24;4411565;СКАРАБЕЙ;1140494;Axe Mar Seb Yas K'A Ast;4196810;ThinIce;1081460;Ast Dan Seb Hei Iri Kho;Axe(11064) Alb(11064) Cai(11064) Fen(11064) Oli(9428);Axe(11064) Cai(11064) Oli(11064) Alb(11064) Bis(7394);
26/12/24;4668830;TrumpReturns;1109776;Axe Iri Seb K'A Ast Aur;4651490;Spike;1012106;Ast Ish Neb Seb Faf Axe;Bis(10238) Alb(11064) Vex(10154) Oli(9018) Cai(11064);Oli(11064) Fen(9692) Cai(9560) Alb(9428) Mar(9692);
26/12/24;4411565;СКАРАБЕЙ;1140494;Axe Mar Seb Yas K'A Ast;4193180;DecanU;1096066;Ast K'A Jor Fac Mar Axe;Axe(11064) Alb(11064) Cai(11064) Fen(11064) Oli(9428);Oli(11064) Fen(11064) Axe(11064) Mar(11064)  ###;
26/12/24;23402789;Ragto;977510;Kho Aid Aug Ori Neb Dan;31634503;Fenrigul;1126816;Ast K'A Seb Ori Mar Axe;Kho(6484) Axe(11064) Bis(10364)  ###  Cai(9018);Oli(11064) Fen(11064) Alb(11064) Kho(9428) Axe(11064);
26/12/24;4292840;Mangas;1145804;Axe Mar LaC Neb Yas Krv;6131234;Cornelius;1055135;Dan Mor Cel Isa Mar Axe;Axe(11064) Vex(9258) Cai(11064) Fen(11064) Oli(11064);Cai(5683) Axe(11064) Mer(11064) Mar(6687) Oli(11064);
26/12/24;4868542;stratis;943642;Kho Pol Aug Ori Jud Aur;4389966;Abner;1173464;Krv Jud Mor Pho Faf Bis;Kho(11064) Alb(9428) Mer(11064) Mar(9428) Cai(11064);Bis(11064) Axe(11064) Oli(11064) Mer(11064) Mar(10676);
26/12/24;4668830;TrumpReturns;1024582;Axe Fac Jor Seb Neb Jhu;4397121;jiw;1032122;Ruf Ami Neb Hei Mar Axe;Mar(8108) Axe(11064) Alb(11064) Cai(11064) Vex(10154);Bis(5793) Axe(11064) Cai(11064) Alb(11064) Oli(11064);
25/12/24;4868542;stratis;1108836;Kho Hel Dor Ori Jor Aur;20924242;PLUS TEAM;1060320;Dan Neb Ori Aug Dor Kho;Kho(11064)  ###  Mer(11064) Axe(11064) Cai(11064);Cai(11064)  ###  Kho(11064) Bis(11064) Axe(11064);
25/12/24;4868542;stratis;991965;Kho Pol Aug Ori Ara Aur;27077711;infinity;1159220;Dan Neb Ori LaC Aug Kho;Kho(11064) Alb(9428) Mer(11064) Axe(11064) Cai(11064);Cai(11064)  ###  Mar(11064) Vex(11064) Alb(11064);
25/12/24;4668830;TrumpReturns;1059024;Axe Mar Jor Seb Jhu Yas;52502484;Xiao;1079070;Ruf Ami Neb Hei Pol Kho;Oli(9018) Axe(11064) Alb(11064) Vex(10154) Cai(11064);Oli(11064) Bis(11064) Cai(11064) Axe(11064) Mar(11064);
24/12/24;4292840;Mangas;1131738;Cai LaC Seb Neb Yas Krv;9225344;Борян ;1111092;And Kei Isa Seb Jet Fen;Vex(9076) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Oli(9428) Fen(11064) Mar(9428) Alb(11064) Axe(9820);
24/12/24;23402789;Ragto;966377;Kho Aid Aug Ori Neb Dan;45476935;Хроник Хаоса;991106;Ast Ami Aug Pol Mar Axe;Kho(6396) Axe(11064) Bis(10364)  ###  Cai(9018);Bis(11064) Axe(11064) Alb(11064) Kho(7272) Oli(11064);
